Num,linkjugador,busquedasus,clubactual,nacionalidad,ligapremium,campeones,altura,patrocinador,nike,goles1819,asistencias1819,minutos1819,golhora,asishora,goahora,goahorapond,seguidoretwitter,edad,edad2,mayor30,posicióncancha,izquierdo,valormill
35,Christian Pulisic,15200,Borussia Dortmund,Estados Unidos,0,0,1.72,,0,3,4,1038,0.1734104046,0.2312138728,0.4046242775,0.1812041307,219,20,400,0,Extremo derecho,0,50
36,Ciro Immobile,110000,Lazio,Italia,0,1,1.85,adidas,0,14,7,2144,0.3917910448,0.1958955224,0.5876865672,0.3653781654,,28,784,0,Delantero centro,0,50
37,Federico Chiesa,49500,ACF Fiorentina,Italia,0,1,1.75,,0,7,6,1886,0.2226935313,0.1908801697,0.413573701,0.2184040893,,21,441,0,Extremo derecho,0,50
38,Florian Thauvin,23320,Olympique de Marseille,Francia,0,1,1.79,,0,13,6,1818,0.4290429043,0.198019802,0.6270627063,0.397893722,,26,676,0,Extremo derecho,0,50
39,Gonzalo Higuaín,246000,Chelsea FC,Argentina,1,1,1.84,Nike,1,8,3,1943,0.2470406588,0.09264024704,0.3396809058,0.2262226257,,31,961,1,Delantero centro,0,50
40,Heung-min Son,90500,Tottenham Hotspur,Corea del Sur,1,0,1.84,adidas,0,12,9,1811,0.3975704031,0.2981778023,0.6957482054,0.3841691535,,26,676,0,Extremo izquierdo,1,50
41,Kingsley Coman,90500,FC Bayern de Múnich,Francia,0,1,1.79,Nike,1,2,1,506,0.2371541502,0.1185770751,0.3557312253,0.22116623,,22,484,0,Extremo izquierdo,1,50
42,Memphis Depay,201000,Olympique Lyonnais,Países Bajos,0,0,1.76,Under Armour,0,6,12,2147,0.1676758267,0.3353516535,0.5030274802,0.1902838034,1320,24,576,0,Delantero centro,0,50
43,Suso,,AC Milan,España,0,1,1.77,,0,6,8,2043,0.1762114537,0.234948605,0.4111600587,0.1841310696,,25,625,0,Extremo derecho,0,50
44,Willian,,Chelsea FC,Brasil,1,1,1.75,,0,7,6,224,1.875,1.607142857,3.482142857,1.83888443,3370,30,900,0,Extremo derecho,0,50
45,Alexis Sánchez,1500000,Manchester United,Chile,1,0,1.68,Nike,1,2,4,796,0.1507537688,0.3015075377,0.4522613065,0.1710801197,,30,900,0,Extremo izquierdo,1,45
46,Ángel Di María,74000,FC Paris Saint-Germain,Argentina,0,1,1.8,adidas,0,9,10,2210,0.2443438914,0.2714932127,0.5158371041,0.248004474,,30,900,0,Extremo derecho,0,45
47,Douglas Costa,368000,Juventus de Turín,Brasil,0,1,1.72,,0,1,2,866,0.06928406467,0.1385681293,0.207852194,0.07862573631,403,28,784,0,Extremo derecho,0,45
48,Federico Bernardeschi,49500,Juventus de Turín,Italia,0,1,1.83,,0,3,2,843,0.2135231317,0.1423487544,0.3558718861,0.2039265864,,24,576,0,Extremo derecho,0,45
49,Richarlison,,FC Everton,Brasil,1,1,1.79,Nike,1,9,2,1760,0.3068181818,0.06818181818,0.375,0.2746424923,117,21,441,0,Extremo izquierdo,1,45
50,Diego Costa,673000,Atlético de Madrid,España,1,1,1.86,,0,4,2,1247,0.1924619086,0.09623095429,0.2886928629,0.1794869485,538,30,900,0,Delantero centro,0,40
51,Hirving Lozano,301000,PSV Eindhoven,México,0,0,1.75,Nike,1,17,9,2341,0.4357112345,0.2306706536,0.6663818881,0.4080653135,,23,529,0,Extremo izquierdo,1,40
52,Ivan Perisic,201000,Inter de Milán,Croacia,0,0,1.87,,0,3,5,1881,0.0956937799,0.1594896332,0.2551834131,0.104295468,,29,841,0,Extremo izquierdo,1,40
53,Jesse Lingard,368000,Manchester United,Inglaterra,1,1,1.74,Nike,1,5,3,1459,0.2056202879,0.1233721727,0.3289924606,0.1945306544,1220,26,676,0,Extremo derecho,0,40
54,Julian Brandt,6500,Bayer 04 Leverkusen,Alemania,0,1,1.86,,0,4,6,1736,0.1382488479,0.2073732719,0.3456221198,0.147568995,18.8,22,484,0,Extremo izquierdo,1,40
55,Karim Benzema,450000,Real Madrid CF,Francia,1,1,1.85,adidas,0,15,6,2607,0.3452243959,0.1380897583,0.4833141542,0.3172961301,,31,961,1,Delantero centro,0,40
56,Luka Jovic,33100,Eintracht de Francfort,Serbia,0,0,1.81,adidas,0,18,4,1533,0.7045009785,0.156555773,0.8610567515,0.630620726,,21,441,0,Delantero centro,0,40
57,Malcom,,FC Barcelona,Brasil,1,1,1.71,,0,2,0,447,0.2684563758,0,0.2684563758,0.2322600106,,21,441,0,Extremo derecho,0,40
58,Mikel Oyarzabal,12100,Real Sociedad,España,1,1,1.81,,0,6,2,1982,0.1816347124,0.06054490414,0.2421796165,0.1653079967,,21,441,0,Extremo izquierdo,1,40
59,Nicolas Pépé,33100,LOSC Lille Métropole,Costa de Marfil,0,0,1.83,,0,13,10,1995,0.3909774436,0.3007518797,0.6917293233,0.378812199,,23,529,0,Extremo derecho,0,40
60,Paco Alcácer,165000,Borussia Dortmund,España,0,1,1.75,Nike,1,13,1,803,0.9713574097,0.07471980075,1.04607721,0.8504624512,,25,625,0,Delantero centro,0,40
61,Serge Gnabry,49500,FC Bayern de Múnich,Alemania,0,1,1.75,Nike,1,4,5,1103,0.2175883953,0.2719854941,0.4895738894,0.2249228356,510,23,529,0,Extremo izquierdo,1,40
62,Thomas Müller,165000,FC Bayern de Múnich,Alemania,0,1,1.86,adidas,0,5,7,1995,0.1503759398,0.2105263158,0.3609022556,0.1584861029,,29,841,0,Media punta,0,40
63,Alassane Plea,33100,Borussia Mönchengladbach,Francia,0,1,1.81,,0,13,3,1519,0.5134957209,0.1184990125,0.6319947334,0.4602377377,,25,625,0,Delantero centro,0,38
64,Thorgan Hazard,165000,Borussia Mönchengladbach,Bélgica,0,0,1.74,,0,12,7,1793,0.4015616286,0.2342442833,0.6358059119,0.3790019865,,25,625,0,Extremo izquierdo,1,38
65,André Silva,201000,Sevilla FC,Portugal,1,0,1.84,Nike,1,11,2,2105,0.3135391924,0.05700712589,0.3705463183,0.2789505992,247,23,529,0,Delantero centro,0,35
66,Andrej Kramaric,12100,TSG 1899 Hoffenheim,Croacia,0,0,1.77,adidas,0,13,3,1706,0.4572098476,0.1055099648,0.5627198124,0.4097896387,,27,729,0,Delantero centro,0,35
67,Ángel Correa,40500,Atlético de Madrid,Argentina,1,1,1.71,,0,4,3,1779,0.1349072513,0.1011804384,0.2360876897,0.1303598158,166,23,529,0,Extremo derecho,0,35
68,Ante Rebic,18720,Eintracht de Francfort,Croacia,0,0,1.85,Nike,1,7,3,1137,0.3693931398,0.1583113456,0.5277044855,0.3409326732,,25,625,0,Media punta,0,35
69,Cengiz Ünder,201000,AS Roma,Turquía,0,0,1.73,Nike,1,6,9,1702,0.2115158637,0.3172737955,0.5287896592,0.2257753601,,21,441,0,Extremo derecho,0,35
70,Felipe Anderson,110000,West Ham United,Brasil,1,1,1.75,adidas,0,9,3,2100,0.2571428571,0.08571428571,0.3428571429,0.2340288925,,25,625,0,Extremo izquierdo,1,35
71,Leon Bailey,110000,Bayer 04 Leverkusen,Jamaica,0,0,1.78,Nike,1,1,5,1434,0.04184100418,0.2092050209,0.2510460251,0.06440693902,,21,441,0,Extremo izquierdo,1,35
72,Marko Arnautovic,60500,West Ham United,Austria,1,0,1.92,Puma,0,8,2,1299,0.3695150115,0.09237875289,0.4618937644,0.332148325,,29,841,0,Delantero centro,0,35
73,Maximiliano Gómez,12100,Celta de Vigo,Uruguay,1,1,1.86,,0,9,5,1635,0.3302752294,0.1834862385,0.5137614679,0.3104834553,23.8,22,484,0,Delantero centro,0,35
74,Sébastien Haller,9900,Eintracht de Francfort,Francia,0,1,1.9,,0,14,11,2193,0.3830369357,0.3009575923,0.683994528,0.3719700579,0.007373,24,576,0,Delantero centro,0,35
75,Vinícius Júnior,368000,Real Madrid CF,Brasil,1,1,1.76,Nike,1,6,10,1373,0.262199563,0.4369992717,0.6991988347,0.285768063,,18,324,0,Extremo izquierdo,1,35
76,Wilfried Zaha,90500,Crystal Palace,Costa de Marfil,1,0,1.8,,0,3,4,1978,0.09100101112,0.1213346815,0.2123356926,0.09509094421,845,26,676,0,Extremo derecho,0,35
77,Wissam Ben Yedder,49500,Sevilla FC,Francia,1,1,1.7,,0,18,7,2194,0.4922515953,0.1914311759,0.6836827712,0.4516915387,96.5,28,784,0,Delantero centro,0,35
78,Lucas Moura,301000,Tottenham Hotspur,Brasil,1,1,1.72,,0,8,2,1987,0.2415702063,0.06039255159,0.3019627579,0.2171417585,2930,26,676,0,Extremo derecho,0,32
79,Andrea Belotti,33100,Torino FC,Italia,0,1,1.81,,0,9,2,2040,0.2647058824,0.05882352941,0.3235294118,0.236946464,,25,625,0,Delantero centro,0,30
80,Dries Mertens,,SSC Napoli,Bélgica,0,0,1.69,,0,11,7,1592,0.4145728643,0.2638190955,0.6783919598,0.3942465135,,31,961,1,Delantero centro,0,30
81,Gonçalo Guedes,3210,Valencia CF,Portugal,1,0,1.79,Nike,1,0,1,893,0,0.06718924972,0.06718924972,0.009059224681,,22,484,0,Extremo izquierdo,1,30
82,Matteo Politano,22200,Inter de Milán,Italia,0,1,1.71,,0,2,4,1900,0.06315789474,0.1263157895,0.1894736842,0.07167356594,19,25,625,0,Extremo derecho,0,30
83,Michy Batshuayi,135000,Valencia CF,Bélgica,1,0,1.84,adidas,0,3,0,1042,0.1727447217,0,0.1727447217,0.1494532985,,25,625,0,Delantero centro,0,30
84,Patrick Cutrone,49500,AC Milan,Italia,0,1,1.83,,0,9,2,1433,0.3768318214,0.08374040475,0.4605722261,0.3373138775,,21,441,0,Delantero centro,0,30
85,Rodrigo,,Valencia CF,España,1,1,1.82,Nike,1,4,4,2119,0.1132609722,0.1132609722,0.2265219443,0.1132609722,,27,729,0,Delantero centro,0,30
86,Steven Bergwijn,14800,PSV Eindhoven,Países Bajos,0,0,1.78,,0,10,10,2227,0.2694207454,0.2694207454,0.5388414908,0.2694207454,,21,441,0,Extremo izquierdo,1,30
87,Iñaki Williams,14800,Athletic Club,España,1,1,1.86,Nike,1,9,3,1736,0.3110599078,0.1036866359,0.4147465438,0.2830994667,67,24,576,0,Extremo derecho,0,28
88,Keita Baldé,74000,Inter de Milán,Senegal,0,0,1.84,,0,4,3,811,0.2959309494,0.2219482121,0.5178791615,0.2859557489,,23,529,0,Extremo izquierdo,1,28
89,Rony Lopes,27100,AS Monaco,Portugal,0,0,1.74,adidas,0,2,1,979,0.1225740552,0.06128702758,0.1838610827,0.1143106357,,23,529,0,Extremo derecho,0,28
90,Moussa Marega,18100,FC Porto,Malí,0,0,1.83,,0,16,9,2405,0.3991683992,0.2245322245,0.6237006237,0.3756219487,,27,729,0,Media punta,0,26
91,Yacine Brahimi,22200,FC Porto,Argelia,0,0,1.75,,0,8,6,2205,0.2176870748,0.1632653061,0.380952381,0.2103493083,,28,784,0,Extremo izquierdo,1,26
92,Aleksandar Mitrovic,33100,FC Fulham,Serbia,1,0,1.88,Nike,1,8,2,2117,0.2267359471,0.05668398677,0.2834199339,0.2038075929,,24,576,0,Delantero centro,0,25
93,Alex Iwobi,60500,FC Arsenal,Nigeria,1,0,1.83,Nike,1,3,7,1679,0.1072066706,0.2501488982,0.3573555688,0.12647978,678,22,484,0,Extremo izquierdo,1,25
94,Arkadiusz Milik,49500,SSC Napoli,Polonia,0,0,1.86,Nike,1,12,2,1436,0.5013927577,0.08356545961,0.5849582173,0.4450564928,221,24,576,0,Delantero centro,0,25
95,Callum Wilson,40500,AFC Bournemouth,Inglaterra,0,1,1.8,,0,11,6,1857,0.3554119548,0.1938610662,0.549273021,0.3336298125,,26,676,0,Delantero centro,0,25
96,David Neres,74000,AFC Ajax Amsterdam,Brasil,0,1,1.75,,0,4,10,2006,0.1196410768,0.2991026919,0.4187437687,0.1438381485,,21,441,0,Extremo derecho,0,25
97,Emil Forsberg,74000,RasenBallsport Leipzig,Suecia,0,0,1.79,,0,3,3,851,0.2115158637,0.2115158637,0.4230317274,0.2115158637,,27,729,0,Extremo izquierdo,1,25
98,Iago Aspas,135000,Celta de Vigo,España,1,1,1.76,,0,11,2,1546,0.4269081501,0.07761966365,0.5045278137,0.3798130732,,31,961,1,Delantero centro,0,25
99,Jean-Kévin Augustin,9900,RasenBallsport Leipzig,Francia,0,1,1.77,,0,8,2,1242,0.38647343,0.09661835749,0.4830917874,0.3473918471,37.8,21,441,0,Delantero centro,0,25
100,Juan Cuadrado,74000,Juventus de Turín,Colombia,0,0,1.79,adidas,0,1,4,937,0.06403415155,0.2561366062,0.3201707577,0.08993560611,3860,30,900,0,Extremo derecho,0,25
101,Kevin Volland,14800,Bayer 04 Leverkusen,Alemania,0,1,1.79,,0,8,7,1836,0.2614379085,0.2287581699,0.4901960784,0.2570316516,,26,676,0,Delantero centro,0,25
102,Lautaro Martínez,1218,Inter de Milán,Argentina,0,1,1.74,,0,5,1,683,0.439238653,0.0878477306,0.5270863836,0.3918601017,,21,441,0,Delantero centro,0,25
103,Lucas Vázquez,165000,Real Madrid CF,España,1,1,1.73,adidas,0,4,4,1787,0.1343033016,0.1343033016,0.2686066032,0.1343033016,1070,27,729,0,Extremo derecho,0,25
104,Marcel Sabitzer,12100,RasenBallsport Leipzig,Austria,0,0,1.77,,0,3,5,1802,0.09988901221,0.166481687,0.2663706992,0.1088677998,,24,576,0,Extremo derecho,0,25
105,Mario Mandzukic,39800,Juventus de Turín,Croacia,0,0,1.9,Nike,1,9,4,1652,0.3268765133,0.1452784504,0.4721549637,0.3023913812,,32,1024,1,Delantero centro,0,25
106,Pedro,,Chelsea FC,España,1,1,1.67,,0,7,2,1731,0.2426343154,0.06932409012,0.3119584055,0.2192666446,,31,961,1,Extremo derecho,0,25
107,Santi Mina,40500,Valencia CF,España,1,1,1.81,,0,8,0,1480,0.3243243243,0,0.3243243243,0.2805952019,23.4,23,529,0,Delantero centro,0,25
108,Simone Verdi,49500,SSC Napoli,Italia,0,1,1.74,,0,1,1,294,0.2040816327,0.2040816327,0.4081632653,0.2040816327,,26,676,0,Extremo derecho,0,25
109,Willian José,22200,Real Sociedad,Brasil,1,1,1.89,,0,7,1,1590,0.2641509434,0.03773584906,0.3018867925,0.2336230655,109,27,729,0,Delantero centro,0,25
110,Xherdan Shaqiri,201000,FC Liverpool,Suiza,1,0,1.69,Nike,1,6,3,1176,0.306122449,0.1530612245,0.4591836735,0.2854849805,831,27,729,0,Extremo derecho,0,25
111,Edin Dzeko,165000,AS Roma,Bosnia y Herzegovina,0,0,1.93,adidas,0,9,4,1587,0.3402646503,0.1512287335,0.4914933837,0.3147766615,1540,32,1024,1,Delantero centro,0,23
112,Giovanni Simeone,74000,ACF Fiorentina,Argentina,0,1,1.79,,0,4,5,1667,0.1439712058,0.1799640072,0.323935213,0.1488241678,210,23,529,0,Delantero centro,0,23
113,Bas Dost,90500,Sporting CP,Países Bajos,0,0,1.96,adidas,0,17,2,1551,0.6576402321,0.07736943907,0.7350096712,0.5794014735,,29,841,0,Delantero centro,0,22
114,Cédric Bakambu,14800,Beijing Sinobo Guoan,RD del Congo,0,0,1.82,,0,112,22,17971,0.3739357854,0.07345167214,0.4473874576,0.3334210735,,27,729,0,Delantero centro,0,22
115,Duván Zapata,15000,Atalanta Bergamo,Colombia,0,0,1.89,,0,18,5,1903,0.5675249606,0.1576458224,0.725170783,0.5122603577,,27,729,0,Delantero centro,0,22
116,Hakan Calhanoglu,33100,AC Milan,Turquía,0,0,1.78,adidas,0,1,10,2004,0.02994011976,0.2994011976,0.3293413174,0.06627195048,,24,576,0,Extremo izquierdo,1,22
117,Stephan El Shaarawy,40500,AS Roma,Italia,0,1,1.78,Nike,1,7,3,1199,0.3502919099,0.1501251043,0.5004170142,0.3233031271,,26,676,0,Extremo izquierdo,1,22
118,Ademola Lookman,27100,FC Everton,Inglaterra,1,1,1.74,Nike,1,1,2,639,0.09389671362,0.1877934272,0.2816901408,0.1065569447,,21,441,0,Extremo izquierdo,1,20
119,Allan Saint-Maximin,9900,OGC Nice,Francia,0,1,1.73,,0,5,3,1734,0.1730103806,0.1038062284,0.276816609,0.1636794837,,21,441,0,Extremo derecho,0,20
120,Andrii Yarmolenko,18100,West Ham United,Ucrania,1,0,1.9,Nike,1,2,1,549,0.218579235,0.1092896175,0.3278688525,0.2038435562,36.4,29,841,0,Extremo derecho,0,20
121,Borja Iglesias,22200,RCD Espanyol,España,1,1,1.87,,0,12,2,1990,0.3618090452,0.06030150754,0.4221105528,0.3211563435,,26,676,0,Delantero centro,0,20
122,Cenk Tosun,11400,FC Everton,Turquía,1,0,1.83,Nike,1,2,2,810,0.1481481481,0.1481481481,0.2962962963,0.1481481481,426,27,729,0,Delantero centro,0,20
123,Christian Benteke,22200,Crystal Palace,Bélgica,1,0,1.9,Nike,1,0,0,360,0,0,0,0,,28,784,0,Delantero centro,0,20
124,Cristian Pavón,3080,Club Atlético Boca Juniors,Argentina,0,1,1.74,,0,2,0,554,0.2166064982,0,0.2166064982,0.1874011277,,23,529,0,Extremo derecho,0,20
125,Demarai Gray,14800,Leicester City,Inglaterra,1,1,1.8,adidas,0,3,1,1474,0.1221166893,0.04070556309,0.1628222524,0.1111399082,,22,484,0,Extremo izquierdo,1,20
126,Erik Lamela,49500,Tottenham Hotspur,Argentina,1,1,1.84,,0,6,3,1240,0.2903225806,0.1451612903,0.435483871,0.2707502718,,26,676,0,Extremo derecho,0,20
127,Gelson Martins,10830,AS Monaco,Portugal,0,0,1.73,,0,1,0,446,0.134529148,0,0.134529148,0.1163903865,26.6,23,529,0,Extremo derecho,0,20
128,Gerard Moreno,27100,Villarreal CF,,1,0,1.8,,0,7,1,2022,0.2077151335,0.0296735905,0.237388724,0.1837095322,,26,676,0,,0,20
129,Gonzalo Martínez,22200,Atlanta United FC,Argentina,0,1,1.7,,0,4,1,431,0.5568445476,0.1392111369,0.6960556845,0.5005344248,,25,625,0,Extremo izquierdo,1,20
130,Hulk,8100,Shanghai SIPG,Brasil,0,1,1.8,,0,241,164,38036,0.3801661584,0.258702282,0.6388684404,0.3637890065,,32,1024,1,Extremo derecho,0,20
131,Ismaïla Sarr,22200,Stade Rennais FC,Senegal,0,0,1.85,,0,9,6,2382,0.2267002519,0.1511335013,0.3778337531,0.2165114765,,20,400,0,Extremo izquierdo,1,20
132,Jacob Bruun Larsen,139,Borussia Dortmund,Dinamarca,0,0,1.83,Nike,1,3,2,947,0.1900739176,0.1267159451,0.3167898627,0.1815312697,0.008916,20,400,0,Extremo izquierdo,1,20
133,Jamie Vardy,201000,Leicester City,Inglaterra,1,1,1.79,,0,7,3,1599,0.2626641651,0.1125703565,0.3752345216,0.2424267976,,32,1024,1,Delantero centro,0,20
134,José Callejón,22200,SSC Napoli,España,0,1,1.78,adidas,0,1,8,1980,0.0303030303,0.2424242424,0.2727272727,0.05890364317,,31,961,1,Extremo derecho,0,20
135,Justin Kluivert,165000,AS Roma,Países Bajos,0,0,1.71,adidas,0,2,5,1181,0.1016088061,0.2540220152,0.3556308213,0.1221589017,,19,361,0,Extremo izquierdo,1,20
136,Luan,6600,Grêmio Foot-Ball Porto Alegrense,Brasil,0,1,1.8,adidas,0,41,31,13034,0.188737149,0.142703698,0.331440847,0.1825303916,,25,625,0,Media punta,0,20
137,Mariano Díaz,165000,Real Madrid CF,República Dominicana,1,0,1.78,,0,1,0,502,0.1195219124,0,0.1195219124,0.1034065983,,25,625,0,Delantero centro,0,20
138,Mario Balotelli,246000,Olympique de Marseille,Italia,0,1,1.89,Puma,0,0,1,758,0,0.07915567282,0.07915567282,0.01067267499,,28,784,0,Delantero centro,0,20
139,Mark Uth,22200,FC Schalke 04,Alemania,0,1,1.85,,0,3,2,1386,0.1298701299,0.08658008658,0.2164502165,0.1240332701,,27,729,0,Delantero centro,0,20
140,Michael Gregoritsch,4400,FC Augsburg,Austria,0,0,1.93,adidas,0,4,0,1492,0.1608579088,0,0.1608579088,0.139169202,,24,576,0,Media punta,0,20
141,Moussa Dembélé,135000,Olympique Lyonnais,Francia,0,1,1.83,adidas,0,11,4,1545,0.427184466,0.1553398058,0.5825242718,0.3905312534,,22,484,0,Delantero centro,0,20
142,Rafa Silva,18100,SL Benfica,Portugal,0,0,1.71,,0,9,2,1427,0.3784162579,0.08409250175,0.4625087596,0.3387321559,,25,625,0,Extremo derecho,0,20
143,Raphaël Guerreiro,22200,Borussia Dortmund,Portugal,0,0,1.7,adidas,0,5,4,921,0.325732899,0.2605863192,0.5863192182,0.3169490905,,25,625,0,Extremo izquierdo,1,20
144,Theo Walcott,135000,FC Everton,Inglaterra,1,1,1.75,adidas,0,4,2,1643,0.1460742544,0.07303712721,0.2191113816,0.1362265519,2300,29,841,0,Extremo derecho,0,20
145,Vitolo,,Atlético de Madrid,España,1,1,1.85,,0,1,2,637,0.09419152276,0.1883830455,0.2825745683,0.1068915034,149,29,841,0,Extremo izquierdo,1,20
146,Yannick Carrasco,90500,Dalian Yifang,Bélgica,0,0,1.8,Nike,1,50,50,16834,0.1782107639,0.1782107639,0.3564215279,0.1782107639,112,25,625,0,Extremo izquierdo,1,20
